Company,Total Score,MA,MB,MC,MD
Company 1,77,60,52,43,80
Company 2,88,72,69,56,91
Company 3,94,64,59,65,85
Company 4,85,59,58,46,71
Company 5,71,55,68,72,62
Company 6,90,78,61,79,98
Company 7,80,60,56,71,91
Company 8,65,47,67,48,78
Company 9,92,73,64,83,85
Company 10,78,56,55,61,73
Company 11,68,49,71,58,89
Company 12,88,74,79,74,93
Company 13,84,61,57,56,72
Company 14,76,59,62,60,80
Company 15,70,61,55,62,79
Company 16,75,57,63,64,82
Company 17,90,78,65,72,91
Company 18,85,62,58,75,88
Company 19,77,68,57,61,84
Company 20,83,70,69,62,89
Company 21,81,74,62,79,80
Company 22,92,69,72,78,99
Company 23,87,64,56,75,84
Company 24,79,52,65,62,80
Company 25,91,76,71,73,95
Company 26,79,63,60,70,83
Company 27,85,72,66,64,90
